65UH6030-UC.AUSWLJR
55UJ6200-UA.CUSYLH
65UJ6300-UA.BUSYLOR
55UK6500AUA.BUSTLJR
OLED65CXAUA.DUSQLJR
OLED55C1AUB.DUSQLJR
OLED77C1PUB.BUSWLJR
OLED65C1AUB.BUSYLJR
55UQ8000AUB.BUSFLKR
UN55H6203AFXZA
UN65J6200AFXZA
UN75NU6950FXZA
UN60J6200AFXZA
UN60J620DAFXZA
UN58J5190AFXZA
UN65KU6500FXZA
UN55KS8000FXZA
UN65MU6500FXZA
UN49MU6290FXZA
UN65NU7300FXZA
UN65NU6900FXZA
QN50Q6DTAFXZA
UN75NU7100FXZA
UN75NU6900FXZA
UN70NU6900FXZA 
UN70NU6900FXZA
QN65Q60RAFXZA
QN75Q60TBFXZA
QN75Q6DAAFXZA
UN70TU7000FXZA
UN65TU7000FXZA
QN55LS03TAFXZA
QN65Q90TAFXZA
QN50Q60TAFXZA
UN50TU8000FXZA 
UN65TU700DFXZA
QN75Q60AAFXZA
UN55NU6950FXZA
BN94-16871Z
UN85AU800DFXZA
QN65S95BAFXZA
UN50AU8000FXZA
QN65S90CDFXZA
UN55NU6900FXZA
UN50TU8000FXZA
A-2197-252-A BM2A
A-2229-109-A BM3J19
A-5015-305-A BNB
A-5042-769-A A-5042-769-B A5042768A BM5STY
65UH6030-UC.BUSWLJR
UN75NU7200FXZA
